categoria,nombre,sexo,UltimaFormacionAcademica,NodoHijo,nodo_padre,Titulo_proyecto,año
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,Impactos de la Ventilación mecánica no invasiva en insuficiencia respiratoria aguda en el paciente adulto. Una Revisión de Tema Fundación Universitaria Maria Cano,2023
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,FISIOTERAPIA EN EL ABORDAJE DE LA DISPAREUNIA. Una Reflexión¿ Fundación Universitaria Maria Cano,2023
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,"EFECTOS DEL EJERCICIO FÍSICO A NIVEL OSTEO MUSCULAR EN PACIENTES CON VENTILACIÓN MECÁNICA, UNA REVISIÓN DE LITERATURA¿ Fundación Universitaria Maria Cano",2020
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,REHABILITACIÓN FISIOTERAPÉUTICA EN PACIENTES ADULTOS EN UCI CON NEUMONÍA CON VIRUS EMERGENTES. UNA REVISIÓN DE TEMA. Fundación Universitaria Maria Cano,2023
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,"¿Efectividad de la terapia de descompresión intervertebral no invasiva más terapia física en el dolor lumbar, cambios imagenológicos de resonancia magnética simple de columna en el paciente con discopatía lumbar. Un ensayo clínico retrospectivo¿ Fundación Universitaria Maria Cano",2023
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,¿EFECTIVIDAD DEL EJERCICIO TERAPÉUTICO PARA PREVENIR LA DIÁSTASIS DE LOS RECTOS ABDOMINALES POST PARTO. UNA REVISIÓN DE LA LITERATURA. Fundación Universitaria Maria Cano,2023
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,EFECTOS DEL CONSUMO DE CIGARRILLO ELECTRÓNICO EN LA SALUD PULMONAR QUE LO CONLLEVE A VENTILACIÓN MECÁNICA. UNA REVISIÓN DE LA LITERATURA Fundación Universitaria Maria Cano,2023
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,¿Efectos de la actividad física durante la gestación en el neurodesarrollo infantil. Una revisión de la literatura.¿ Fundación Universitaria Maria Cano,2023
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,IMPACTO DEL POSICIONAMIENTO EN LA ELEVACIÓN DE MIEMBROS INFERIORES COMO MEDIDA PROFILÁCTICA EN PACIENTE CRITICAMENTE ENFERMO. REVISIÓN DE LA LITERATURA.¿ Fundación Universitaria Maria Cano,2023
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,¿EFECTIVIDAD EN LAS INTERVENCIONES DE EJERCICIO FÍSICO DURANTE EL EMBARAZO PARA LA PREVENCIÓN DE LA DEPRESIÓN POSTPARTO. UN ESTADO DEL ARTE¿ Fundación Universitaria Maria Cano,2022
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,¿COMPRESIONES CULTURALES INDÍGENAS DE COLOMBIA RELACIONADAS CON EL EMBARAZO Y SU INTERVENCIÓN FISIOTERAPEÚTICA. UNA REFLEXIÓN¿ Fundación Universitaria Maria Cano,2022
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,"Efectividad y seguridad de la aplicación de la estimulación magnética transcraneal para obtener resultados terapéuticos, una revisión sistemática¿ Fundación Universitaria Maria Cano",2022
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,"PANDEMIA DE COVID-19: ASPECTOS BIOLOGICOS Y ALTERACIONES EN LA ACTIVIDAD FISICA, RESULTADOS DE UNA ENCUESTA EN EL ÀMBITO UNIVERSITARIO Fundación Universitaria Maria Cano",2022
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,EFECTOS DE LA REALIZACIÓN DE ACTIVIDAD FÍSICA EN LA PREVENCIÓN DEL AUMENTO DE PESO EXCESIVO GESTACIONAL DURANTE EL EMBARAZO. UN ESTADO DEL ARTE¿ Fundación Universitaria Maria Cano,2022
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,¿PRINCIPALES COMPLICACIONES DURANTE EL EMBARAZO CON MIASTENIA GRAVE. UN ESTADO DEL ARTE Fundación Universitaria Maria Cano,2022
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,Síntomas Respiratorios en Fumadores de cigarrillo Adultos Jóvenes entre 18 a 30 años en el Barrio Antioquia Medellín¿ Fundación Universitaria Maria Cano,2022
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,"Movilización Temprana En Paciente Adulto En Unidad De Cuidado Intensivo. Una Revisión de la Literatura"" Fundación Universitaria Maria Cano",2020
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,"VENTILACION MECANICA EN EL PACIENTE CON ENFERMEDAD OBSTRUCTIVA CRONICA. UNA REVISION DE LA LITERATURA"" Fundación Universitaria Maria Cano",2020
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,Predictores Para el Destete Ventilatorio. Revisión de la literatura Fundación Universitaria Maria Cano,2020
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,COMPLICACIONES MÁS FRECUENTES RELACIONADAS CON LA VENTILACIÓN MECÁNICA EN EL NEONATO. UNA REVISIÓN DE TEMAA. Fundación Universitaria Maria Cano,2020
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,Métodos y tecinas de fisioterapia utilizados en paciente post ventilación mecánica. Revisión de Tema Fundación Universitaria Maria Cano,2020
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,Nivel de conocimiento en movilización temprana del paciente en UCI por parte del personal de enfermería del hospital general del municipio de Algeciras Huila en el año 2021 Fundación Universitaria Maria Cano,2021
