categoria,nombre,sexo,UltimaFormacionAcademica,NodoHijo,nodo_padre,Titulo_proyecto,año
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,Diseño de un marco de trabajo para medir la sostenibilidad. Caso de estudio en cinco PYMES antioqueñas de la ciudad de Medellín. Corporación Universitaria Adventista,2024
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,Un Marco de Trabajo para Evaluar y Reportar la Sostenibilidad en Instituciones de Educación Superior Corporación Universitaria Adventista,2024
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,Propuesta De Creación Del Consultorio Logístico De La Corporación Universitaria Adventista UNAC Corporación Universitaria Adventista,2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,Estandarización de procedimientos administrativos en la dirección de Sostenibilidad de la Corporación Universitaria Adventista. Corporación Universitaria Adventista,2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,Plan de mejora para el proceso de la granola Vainilla Vitarrico x 1000 gr aplicando herramientas de Ingeniería de Métodos. Corporación Universitaria Adventista,2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,Documentación del Programa de Aprovechamiento de Residuos Sólidos en la Industria de Alimentos Vitarrico Corporación Universitaria Adventista,2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,Diseño del Prototipo de una Planta de Compostaje para la Corporación Universitaria Adventista Colombia Corporación Universitaria Adventista,2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,Diseño de una propuesta de mejora en sector logístico sobre el área de cargue y descargue en la empresa INSAGREIN S.A.S Corporación Universitaria Adventista,2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,Estrategia para fomentar la gestión del cambio encaminada a potenciar el talento humano y la competitividad en PYMES de la ciudad de Medellín. Corporación Universitaria Adventista,2025
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,Estrategia para la optimización del consumo de energía y agua en las IES de Medellín Corporación Universitaria Adventista,2025
