tipo,nodo_padre,nombre_grupo_investigacion,sigla_grupo_investigacion,titulo,autor_1,autor_2,autor_3,autor_4,autor_5,issn,isbn,revista,ano
Artículo,Nuevo Conocimiento,Praxis Musical ,Praxis Musical,Integrating Artificial Intelligence in Higher Education: A Systematic Review and Perspectives in Latin America,GELVER PEREZ PULIDO,FREDY GIOVANNY FERNANDEZ GOMEZ,LEONARDO MAURIS DE LA OSSA,JORGE HOYOS RENTERIA,,1741-8984,,MIGRATION LETTERS,2024
Artículo,Nuevo Conocimiento,Praxis Musical ,Praxis Musical,Integrating Artificial Intelligence in Higher Education: A Systematic Review and Perspectives in Latin America,JORGE HOYOS RENTERIA,GELVER PEREZ PULIDO,LEONARDO MAURIS DE LA OSSA,FREDY GIOVANNY FERNANDEZ GOMEZ,,1741-8992,,MIGRATION LETTERS,2024
Artículo,Nuevo Conocimiento,Praxis Musical ,Praxis Musical,Evaluación innovadora de los aprendizajes en educación media y superior en América Latina: revisión sistemática,JORGE HOYOS RENTERIA,GUSTAVO ADOLFO PHEREZ GOMEZ,NURY NATALIA GARZON AGUIAR,EDNA KATHERINE CONDE VEGA,,2215-8421,,Voces Y Silencios,2023
Artículo,Nuevo Conocimiento,Praxis Musical ,Praxis Musical,Una cosmovisión emergente por causa del covid-19,ENOC IGLESIAS ORTEGA,GUSTAVO ADOLFO PHEREZ GOMEZ,,,,2027-2448,,REVISTA PENSAMIENTO AMERICANO,2023
Artículo,Nuevo Conocimiento,Praxis Musical ,Praxis Musical,Artificial Intelligence and Ethics in the Classroom: A Systematic Review,GELVER PEREZ PULIDO,FREDY GIOVANNY FERNANDEZ GOMEZ,LEONARDO MAURIS DE LA OSSA,JORGE HOYOS RENTERIA,,1741-8992,,MIGRATION LETTERS,2023
Artículo,Nuevo Conocimiento,Praxis Musical ,Praxis Musical,Artificial Intelligence and Ethics in the Classroom: A Systematic Review,JORGE HOYOS RENTERIA,GELVER PEREZ PULIDO,LEONARDO MAURIS DE LA OSSA,FREDY GIOVANNY FERNANDEZ GOMEZ,,1741-8992,,MIGRATION LETTERS,2023
Artículo,Nuevo Conocimiento,Praxis Musical ,Praxis Musical,Conceptos principales de la filosofía del cristianismo,ENOC IGLESIAS ORTEGA,GUSTAVO ADOLFO PHEREZ GOMEZ,,,,2711-0303,,UNACIENCIA,2023
Artículo,Nuevo Conocimiento,Praxis Musical ,Praxis Musical,Conceptos principales de la filosofía del cristianismo,GUSTAVO ADOLFO PHEREZ GOMEZ,ENOC IGLESIAS ORTEGA,,,,2711-0303,,UNACIENCIA,2023
Artículo,Nuevo Conocimiento,Praxis Musical ,Praxis Musical,Role Identities in Colombian Music Education Graduates,JORGE HOYOS RENTERIA,,,,,2160-3715,,QUALITATIVE REPORT,2023
Artículo,Nuevo Conocimiento,Praxis Musical ,Praxis Musical,Aportes de la educación musical a las personas con discapacidad visual en la promoción de la autodeterminación,MONICA PEREZ VALDERRAMA,,,,,2346-4747,,Ricercare - Revista Del Departamento De Música,2020
Artículo,Nuevo Conocimiento,Praxis Musical ,Praxis Musical,Una aproximación a la estructura rítmica del pasillo colombiano: un análisis desde la perspectiva de la teoría generativa de la música tonal,JORGE HOYOS RENTERIA,,,,,2346-4747,,Ricercare - Revista Del Departamento De Música,2014
Artículo,Nuevo Conocimiento,Praxis Musical ,Praxis Musical,Propuesta Pedagógica: qué formación? Qué educación?,JOEL PADILLA RUIZ,ANGELA URREGO TOBON,ARLEY FABIO OSSA MONTOYA,,,1657-4249,,UNI PLURIVERSIDAD,2012
Artículo,Nuevo Conocimiento,Praxis Musical ,Praxis Musical,La Música y el Desarrollo Cognitivo,NELSON JAVIER BERRIO GRANDAS,,,,,2027-3916,,Unaciencia - Revista De Estudios E Investigaciones,2011
Artículo,Nuevo Conocimiento,Praxis Musical ,Praxis Musical,La armonía cromática merece una revisión más sistemática,JOEL PADILLA RUIZ,ALFREDO DELGADO,HECTOR ECHEVERRY,JUAN DAVID MANCO,JOHNNIER OCHOA,1692-0694,,Patentes Y Registros,2011
Artículo,Nuevo Conocimiento,Praxis Musical ,Praxis Musical,La música y sus efectos,NELSON JAVIER BERRIO GRANDAS,,,,,2027-3916,,Unaciencia - Revista De Estudios E Investigaciones,2010
Libro,Nuevo Conocimiento,Praxis Musical ,Praxis Musical,Para la memoria y verdad histórica de Colombia,ENOC IGLESIAS ORTEGA,,,,,,978-628-95453-4-0,,2023
Libro,Nuevo Conocimiento,Praxis Musical ,Praxis Musical,¡Sin libertad! Hechos históricos para una memoria del conflicto armado colombiano.,ENOC IGLESIAS ORTEGA,,,,,,978-628-95453-8-8,,2023
Libro,Nuevo Conocimiento,Praxis Musical ,Praxis Musical,"Potenciando la creación, actualización en innovación del Proyecto Educativo Institucional - PEI del Sistema Educativo Adventista de Colombia",GELVER PEREZ PULIDO,GUSTAVO ADOLFO PHEREZ GOMEZ,ELMER JOSE MARTINEZ CUDRIZ,SANDRA MILENA TIUSABA,,,978-628-95453-5-7,,2023
Libro,Nuevo Conocimiento,Praxis Musical ,Praxis Musical,"Potenciando la Creación, Actualización e Innovación del Proyecto Educativo Institucional - PEI del Sistema Educativo Adventista de Colombia",GUSTAVO ADOLFO PHEREZ GOMEZ,GELVER PEREZ PULIDO,SANDRA MILENA TIUSABA,ELMER JOSE MARTINEZ CUDRIZ,,,978-628-95453-5-7,,2023
Capítulos de libro,Nuevo Conocimiento,Praxis Musical ,Praxis Musical,Herramientas pedagógicas para la enseñanza del lenguaje musical a personas con discapacidad visual que aspiran acceder a un pregrado en música,YAZMIN ROSSANA ARDILA QUINONES,FRIEDRICK OCHOA VALENCIA,FELIPE TAMAYO MEDINA,JORGE ELIECER ALVAREZ OSORNO,,,978-628-96443-2-6,Impacto y avances en investigación formativa,2024
Capítulos de libro,Nuevo Conocimiento,Praxis Musical ,Praxis Musical,"Pensamiento crítico, dimensiones y estrategias para su desarrollo",ENOC IGLESIAS ORTEGA,ADOLFO ENRIQUE DIAZ MORENO,LORENA QUITIAN ZARATE,SARAI ANA ORTEGA PINEDA,YUVER STEVE VILLAMIL RICO,,978-628-95453-9-5,Investigación educativa: perspectivas y aplicaciones,2023
Capítulos de libro,Nuevo Conocimiento,Praxis Musical ,Praxis Musical,Creatividad e innovación en la enseñanza del inglés: breve revisión bibliográfica.,ENOC IGLESIAS ORTEGA,EULICES CORDOBA ZUNIGA,,,,,978-628-95453-9-5,Investigación educativa: perspectivas y aplicaciones,2023
Capítulos de libro,Nuevo Conocimiento,Praxis Musical ,Praxis Musical,"Justicia restaurativa como forma de resolución de conflictos, entre víctimas y victimarios",SARA ELIZABETH ALVAREZ GOMEZ,MILTON ANDRES JARA RAMIREZ,ENOC IGLESIAS ORTEGA,,,,978-958-53658-4-1,Aportes desde la investigación para una mejor conciencia de la realidad humana,2022
Proceso de Apropiación Social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,Apropiación Social del Conocimiento,Praxis Musical ,Praxis Musical,Laboratorio Vocal Voces&Movimientos,,,,,,,,,2021
Proceso de Apropiación Social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,Apropiación Social del Conocimiento,Praxis Musical ,Praxis Musical,CANTO Y DIRECCIÓN CORAL,,,,,,,,,2023
Proceso de Apropiación Social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,Apropiación Social del Conocimiento,Praxis Musical ,Praxis Musical,Concierto Didáctico en la Corporación Educativa Adventista -CEA- Sede los Cámbulos sección Bachillerato en la ciudad de Cali,,,,,,,,,2023
