id_link_grouplab,tipo,nodo_padre,nombre_grupo_investigacion,sigla_grupo_investigacion,titulo,titulo_original,titulo_normalizado,autor_1,autor_2,autor_3,autor_4,autor_5,issn,isbn,revista,ano
1,Artículo,Nuevo Conocimiento,Pedagogía cultura y sociedad ,Pedagogía cultura y sociedad ,Habilidades investigativas en educación formal: una revisión sistemática y bibliométrica,Habilidades investigativas en educación formal: una revisión sistemática y bibliométrica,habilidades investigativas en educacion formal una revision sistematica y bibliometrica,JENIFFER XIMENA VEGA FAJARDO,SONIA LUCIA VARGAS AMEZQUITA,,,,2529-9824,,EUROPEAN PUBLIC AND SOCIAL INNOVATION REVIEW,2024
1,Artículo,Nuevo Conocimiento,Pedagogía cultura y sociedad ,Pedagogía cultura y sociedad ,Lenguaje e interpretación en la noción de probabilidad de Gottfried Leibniz,Lenguaje e interpretación en la noción de probabilidad de Gottfried Leibniz,lenguaje e interpretacion en la nocion de probabilidad de gottfried leibniz,GELVER PEREZ PULIDO,HELMER BENIGNO QUINTERO NUNEZ,ANDRES FELIPE ALVAREZ GARCIA,,,2529-9824,,EUROPEAN PUBLIC AND SOCIAL INNOVATION REVIEW,2024
1,Artículo,Nuevo Conocimiento,Pedagogía cultura y sociedad ,Pedagogía cultura y sociedad ,Evaluation of Artificial Intelligence as a Source of Motivation in the Teaching of Chemistry: A Study with Tenth Grade Students at the Adventist School of Ibagué,Evaluation of Artificial Intelligence as a Source of Motivation in the Teaching of Chemistry: A Study with Tenth Grade Students at the Adventist School of Ibagué,evaluation of artificial intelligence as a source of motivation in the teaching of chemistry a study with tenth grade students at the adventist school of ibague,LEONARDO MAURIS DE LA OSSA,NURY AUDREY NIETO GARZON,CELMIRA PEREZ PULIDO,BLANCA EDILMA GARCIA HERRAN,JORGE HOYOS RENTERIA,2472-9876,,EVOLUTIONARY STUDIES IN IMAGINATIVE CULTURE,2024
1,Artículo,Nuevo Conocimiento,Pedagogía cultura y sociedad ,Pedagogía cultura y sociedad ,Comparación de los niveles de inteligencia emocional y creatividad en niños escolarizados y educados en casa homeschoolers,Comparación de los niveles de inteligencia emocional y creatividad en niños escolarizados y educados en casa homeschoolers,comparacion de los niveles de inteligencia emocional y creatividad en ninos escolarizados y educados en casa homeschoolers,ERIKA YAMILA MELO ROMERO,,,,,2027-2448,,REVISTA PENSAMIENTO AMERICANO,2024
1,Artículo,Nuevo Conocimiento,Pedagogía cultura y sociedad ,Pedagogía cultura y sociedad ,Uso de herramientas digitales en la enseñanza de las ciencias naturales a estudiantes de secundaria en Iberoamérica.,Uso de herramientas digitales en la enseñanza de las ciencias naturales a estudiantes de secundaria en Iberoamérica.,uso de herramientas digitales en la ensenanza de las ciencias naturales a estudiantes de secundaria en iberoamerica,LEONARDO MAURIS DE LA OSSA,,,,,2665-5837,,Conocimiento Global,2024
1,Artículo,Nuevo Conocimiento,Pedagogía cultura y sociedad ,Pedagogía cultura y sociedad ,Antropología de la religión: Observando la dinámica de lo sagrado,Antropología de la religión: Observando la dinámica de lo sagrado,antropologia de la religion observando la dinamica de lo sagrado,MILTON ANDRES JARA RAMIREZ,HELMER BENIGNO QUINTERO NUNEZ,HECTOR FABIAN PALACIOS VANEGAS,,,2027-2448,,REVISTA PENSAMIENTO AMERICANO,2024
1,Artículo,Nuevo Conocimiento,Pedagogía cultura y sociedad ,Pedagogía cultura y sociedad ,Tendencias investigativas en Tecnologías Verdes orientadas a la Protección Ambiental,Tendencias investigativas en Tecnologías Verdes orientadas a la Protección Ambiental,tendencias investigativas en tecnologias verdes orientadas a la proteccion ambiental,LUIS FERNANDO GARCES GIRALDO,,,,,2183-0126,,RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao,2024
1,Artículo,Nuevo Conocimiento,Pedagogía cultura y sociedad ,Pedagogía cultura y sociedad ,Tendencias investigativas en el uso de la Inteligencia artificial en el turismo,Tendencias investigativas en el uso de la Inteligencia artificial en el turismo,tendencias investigativas en el uso de la inteligencia artificial en el turismo,LUIS FERNANDO GARCES GIRALDO,,,,,2183-0126,,RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao,2024
1,Artículo,Nuevo Conocimiento,Pedagogía cultura y sociedad ,Pedagogía cultura y sociedad ,Tendencias investigativas en el uso de la inteligencia artificial en el marketing digital,Tendencias investigativas en el uso de la inteligencia artificial en el marketing digital,tendencias investigativas en el uso de la inteligencia artificial en el marketing digital,LUIS FERNANDO GARCES GIRALDO,,,,,2183-0126,,RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao,2024
1,Artículo,Nuevo Conocimiento,Pedagogía cultura y sociedad ,Pedagogía cultura y sociedad ,Antropología de la Religión: Avistamiento a la dinámica de la sacralidad,Antropología de la Religión: Avistamiento a la dinámica de la sacralidad,antropologia de la religion avistamiento a la dinamica de la sacralidad,HECTOR FABIAN PALACIOS VANEGAS,HELMER BENIGNO QUINTERO NUNEZ,MILTON ANDRES JARA RAMIREZ,CARLOS HUGO BLANCO LINARES,,2027-2448,,REVISTA PENSAMIENTO AMERICANO,2024
1,Artículo,Nuevo Conocimiento,Pedagogía cultura y sociedad ,Pedagogía cultura y sociedad ,Empleabilidad Femenina en el Contexto de Economías en Vías de Desarrollo,Empleabilidad Femenina en el Contexto de Economías en Vías de Desarrollo,empleabilidad femenina en el contexto de economias en vias de desarrollo,LUIS FERNANDO GARCES GIRALDO,,,,,2183-0126,,RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao,2024
1,Artículo,Nuevo Conocimiento,Pedagogía cultura y sociedad ,Pedagogía cultura y sociedad ,Impacto de la actividad física en la salud mental en personas con trastornos de ansiedad y estrés,Impacto de la actividad física en la salud mental en personas con trastornos de ansiedad y estrés,impacto de la actividad fisica en la salud mental en personas con trastornos de ansiedad y estres,PAULA ANDREA SAAVEDRA PARRA,DORIMELY GASPAR CARTAGENA,LIGIA ELMIRA ROMERO COGOLLO,MARILUZ CANO GARCIA,MARYIN KATHERYN ALVAREZ GOMEZ,1886-8576,,Revista Iberoamericana de Psicologia del Ejercicio y el Deporte,2024
1,Artículo,Nuevo Conocimiento,Pedagogía cultura y sociedad ,Pedagogía cultura y sociedad ,Integrating Artificial Intelligence in Higher Education: A Systematic Review and Perspectives in Latin America,Integrating Artificial Intelligence in Higher Education: A Systematic Review and Perspectives in Latin America,integrating artificial intelligence in higher education a systematic review and perspectives in latin america,FREDY GIOVANNY FERNANDEZ GOMEZ,LEONARDO MAURIS DE LA OSSA,JORGE HOYOS RENTERIA,GELVER PEREZ PULIDO,,1741-8992,,MIGRATION LETTERS,2024
1,Artículo,Nuevo Conocimiento,Pedagogía cultura y sociedad ,Pedagogía cultura y sociedad ,El oikos en la red de redes,El oikos en la red de redes,el oikos en la red de redes,LUIS FERNANDO GARCES GIRALDO,,,,,1316-5216,,UTOPIA Y PRAXIS LATINOAMERICANA,2024
